,Date,Time,Temp_C,RH,DewPt_C,Pressure_hPa,,,,,
61,2002-06-20,3:30p,4.4,97,4,1015.2,,,,,
62,2002-06-20,3:45p,4.3,97,3.9,1015.1,,,,,
63,2002-06-20,4:00p,4.3,97,3.9,1014.9,,,,,
64,2002-06-20,4:15p,4.3,97,3.8,1014.7,,,,,
65,2002-06-20,4:30p,4.3,97,3.8,1014.8,,,,,
66,2002-06-20,4:45p,4.2,97,3.8,1014.8,,,,,
67,2002-06-20,5:00p,4.2,97,3.7,1015,,,,,
68,2002-06-20,5:15p,4.1,97,3.6,1015.1,,,,,
69,2002-06-20,5:30p,3.9,97,3.5,1014.8,,,,,
70,2002-06-20,5:45p,3.8,97,3.3,1014.7,,,,,
71,2002-06-20,6:00p,3.8,97,3.3,1014.8,,,,,
72,2002-06-20,6:15p,3.9,97,3.5,1014.6,,,,,
73,2002-06-20,6:30p,3.9,97,3.5,1014.7,,,,,
74,2002-06-20,6:45p,3.9,97,3.5,1014.7,,,,,
75,2002-06-20,7:00p,3.8,97,3.4,1014.6,,,,,
76,2002-06-20,7:15p,3.8,97,3.3,1014.3,,,,,
77,2002-06-20,7:30p,3.8,97,3.3,1014.3,,,,,
78,2002-06-20,7:45p,3.8,97,3.3,1014.8,,,,,
79,2002-06-20,8:00p,3.8,97,3.3,1014.8,,,,,
80,2002-06-20,8:15p,3.7,97,3.2,1015.1,,,,,
81,2002-06-20,8:30p,3.7,97,3.2,1014.7,,,,,
82,2002-06-20,8:45p,3.7,97,3.2,1014.7,,,,,
83,2002-06-20,9:00p,3.6,97,3.2,1014.9,,,,,
84,2002-06-20,9:15p,3.6,97,3.1,1015.3,,,,,
85,2002-06-20,9:30p,3.5,97,3.1,1015.3,,,,,
86,2002-06-20,9:45p,3.4,97,3,1015.5,,,,,
87,2002-06-20,10:00p,3.4,97,3,1015.3,,,,,
88,2002-06-20,10:15p,3.4,97,3,1015.1,,,,,
89,2002-06-20,10:30p,3.4,97,3,1015.1,,,,,
90,2002-06-20,10:45p,3.4,97,3,1015.2,,,,,
91,2002-06-20,11:00p,3.3,97,2.9,1015,,3.39,97.00,2.97,1015.62
92,2002-06-20,11:15p,3.3,97,2.8,1015,,,,,
93,2002-06-20,11:30p,3.2,97,2.8,1015.4,,,,,
94,2002-06-20,11:45p,3.3,97,2.8,1015.5,,,,,
95,2002-07-20,12:00a,3.4,97,3,1015.8,,,,,
96,2002-07-20,12:15a,3.4,97,3,1015.9,,,,,
97,2002-07-20,12:30a,3.5,97,3.1,1015.8,,,,,
98,2002-07-20,12:45a,3.5,97,3.1,1016.1,,,,,
99,2002-07-20,1:00a,3.6,97,3.2,1016.1,,,,,
100,2002-07-20,1:15a,3.6,97,3.2,1015.8,,,,,
101,2002-07-20,1:30a,3.7,96,3.1,1016.1,,,,,
102,2002-07-20,1:45a,3.7,96,3.1,1016.2,,,,,
103,2002-07-20,2:00a,3.6,97,3.1,1016.2,,,,,
104,2002-07-20,2:15a,3.5,97,3.1,1016.5,,,,,
105,2002-07-20,2:30a,3.5,97,3.1,1016.6,,,,,
106,2002-07-20,2:45a,3.6,97,3.1,1016.7,,,,,
107,2002-07-20,3:00a,3.6,97,3.1,1016.6,,,,,
108,2002-07-20,3:15a,3.6,97,3.2,1016.7,,,,,
109,2002-07-20,3:30a,3.6,97,3.1,1016.9,,,,,
110,2002-07-20,3:45a,3.6,97,3.1,1016.8,,,,,
111,2002-07-20,4:00a,3.6,97,3.1,1016.9,,,,,
112,2002-07-20,4:15a,3.6,96,3,1016.8,,,,,
113,2002-07-20,4:30a,3.7,96,3.1,1016.9,,,,,
114,2002-07-20,4:45a,3.7,96,3.1,1016.8,,,,,
115,2002-07-20,5:00a,3.7,97,3.3,1016.7,,,,,
116,2002-07-20,5:15a,3.7,96,3.1,1016.7,,,,,
117,2002-07-20,5:30a,3.7,96,3.1,1016.6,,,,,
118,2002-07-20,5:45a,3.7,96,3.1,1016.8,,,,,
119,2002-07-20,6:00a,3.7,96,3.1,1016.6,,,,,
120,2002-07-20,6:15a,3.6,97,3.2,1016.2,,,,,
121,2002-07-20,6:30a,3.6,97,3.2,1016.4,,,,,
122,2002-07-20,6:45a,3.6,97,3.1,1016.3,,,,,
123,2002-07-20,7:00a,3.6,97,3.1,1016.3,,,,,
124,2002-07-20,7:15a,3.5,97,3.1,1016.1,,,,,
125,2002-07-20,7:30a,3.6,97,3.1,1016,,,,,
126,2002-07-20,7:45a,3.6,97,3.2,1015.9,,,,,
127,2002-07-20,8:00a,3.6,97,3.2,1015.7,,,,,
128,2002-07-20,8:15a,3.7,97,3.2,1015.8,,,,,
129,2002-07-20,8:30a,3.7,97,3.3,1015.6,,,,,
130,2002-07-20,8:45a,3.8,97,3.3,1015.8,,,,,
131,2002-07-20,9:00a,3.8,97,3.3,1015.8,,,,,
132,2002-07-20,9:15a,3.9,97,3.5,1015.4,,,,,
133,2002-07-20,9:30a,4,97,3.6,1015.1,,,,,
134,2002-07-20,9:45a,3.9,97,3.5,1015.3,,,,,
135,2002-07-20,10:00a,4.1,97,3.7,1015.2,,,,,
136,2002-07-20,10:15a,4.2,97,3.7,1014.9,,,,,
137,2002-07-20,10:30a,4.1,97,3.7,1014.5,,,,,
138,2002-07-20,10:45a,4.2,97,3.8,1014.4,,,,,
139,2002-07-20,11:00a,4.3,97,3.8,1014.2,,,,,
140,2002-07-20,11:15a,4.3,97,3.8,1013.8,,,,,
141,2002-07-20,11:30a,4.3,98,4,1013.1,,,,,
142,2002-07-20,11:45a,4.5,97,4.1,1013.1,,,,,
143,2002-07-20,12:00p,4.5,97,4.1,1012.9,,,,,
144,2002-07-20,12:15p,4.6,97,4.1,1011.7,,,,,
145,2002-07-20,12:30p,4.7,97,4.2,1011.2,,,,,
146,2002-07-20,12:45p,4.7,97,4.3,1010.8,,,,,
147,2002-07-20,1:00p,4.9,97,4.5,1010.1,,,,,
148,2002-07-20,1:15p,5.1,97,4.6,1009.8,,,,,
149,2002-07-20,1:30p,5.2,97,4.8,1009.5,,,,,
150,2002-07-20,1:45p,5.3,97,4.8,1008.8,,,,,
151,2002-07-20,2:00p,5.4,97,5,1008.2,,,,,
152,2002-07-20,2:15p,5.3,97,4.9,1008.1,,,,,
153,2002-07-20,2:30p,5.4,97,5,1007.8,,,,,
154,2002-07-20,2:45p,5.6,97,5.2,1007.4,,,,,
155,2002-07-20,3:00p,5.8,98,5.5,1007,,,,,
156,2002-07-20,3:15p,6.3,98,6,1006.6,,,,,
157,2002-07-20,3:30p,6.6,98,6.3,1006.4,,,,,
