# Data from Rio Frio Campaign, Portugal 2002,,,
# Turbulence measurements over a cork oak plantation,,,,
# Level T9 / DOY 193 2003, 13:00 - 14:00 Local Time,,,
"# ""Time(s)""",U_Wind(ms-1),V_Wind(ms-1),W_wind(ms-1),Temperature(degC)
3.2,4.52,-0.9,-0.33,27.99
3.25,4.68,-0.64,-0.22,28.14
3.3,4.77,-0.67,-0.27,27.97
3.35,4.66,-0.98,-0.06,28.24
3.4,4.67,-0.78,-0.1,28.11
3.45,4.54,-0.78,-0.25,28.02
3.5,4.54,-0.81,0.06,28.4
3.55,4.37,-0.7,0.12,28.5
3.6,4.39,-0.78,0.13,28.41
3.65,4.39,-0.76,0.15,28.02
3.7,4.32,-0.71,0.14,28.13
3.75,4.41,-0.71,0.11,28.18
3.8,4.49,-1.02,0.18,28.42
3.85,4.34,-0.86,0.31,28.48
3.9,4.24,-0.7,0.05,28.39
3.95,4,-0.81,0.27,28.35
4,3.98,-0.86,0.3,28.25
4.05,4.04,-0.8,0.34,28.62
4.1,4.04,-0.8,0.35,28.57
4.15,4.09,-0.96,0.17,28.18
4.2,3.86,-0.79,0.43,28.44
4.25,3.59,-0.78,0.46,28.45
4.3,3.72,-0.8,0.33,28.63
4.35,3.88,-0.56,0.17,28.75
4.4,3.94,-0.43,-0.05,28.63
4.45,4.22,-0.21,-0.08,28.63
4.5,4.2,0.1,0.51,28.65
4.55,4.23,-0.04,0.65,28.47
4.6,4.66,-0.47,1.11,28.43
4.65,4.46,-0.17,1.12,28.22
4.7,4.47,-0.23,0.7,28.13
4.75,4.59,-0.2,0.6,28.13
4.8,4.43,-0.03,0.2,28.23
4.85,3.96,0.13,0.03,28.16
4.9,3.58,-0.07,-0.07,28.16
4.95,3.56,-0.33,-0.29,28.26
5,3.61,-0.36,-0.18,28.12
5.05,3.42,-0.22,0.06,27.96
5.1,3.5,-0.38,-0.03,27.98
5.15,3.74,-0.58,0.05,27.97
5.2,3.89,-0.8,-0.39,27.87
5.25,4.08,-0.74,-0.51,27.66
5.3,4.12,-0.94,-0.66,27.57
5.35,4.12,-0.9,-0.98,27.48
5.4,3.91,-0.77,-0.9,27.46
5.45,3.91,-0.82,-0.78,27.46
5.5,3.87,-0.94,-0.65,27.47
5.55,3.93,-0.78,-0.65,27.48
5.6,3.92,-0.87,-0.73,27.47
5.65,4.03,-0.78,-0.67,27.46
5.7,3.97,-0.75,-0.63,27.47
5.75,4.11,-0.76,-0.61,27.46
5.8,3.99,-0.78,-0.55,27.47
5.85,4.02,-0.74,-0.61,27.47
5.9,3.94,-0.76,-0.61,27.47
5.95,4.05,-0.97,-0.47,27.47
6,4.05,-0.95,-0.33,27.49
6.05,4.03,-0.92,-0.47,27.48
6.1,4,-1.01,-0.53,27.46
6.15,3.9,-1,-0.51,27.47
6.2,3.94,-1.03,-0.56,27.47
6.25,3.95,-1.04,-0.66,27.47
6.3,3.83,-1.01,-0.68,27.47
6.35,3.88,-1.05,-0.74,27.46
6.4,3.89,-0.98,-0.75,27.47
6.45,3.79,-0.83,-0.82,27.46
6.5,3.74,-0.68,-0.78,27.47
6.55,3.7,-0.66,-0.82,27.47
6.6,3.68,-0.81,-0.79,27.48
6.65,3.7,-0.76,-0.76,27.48
6.7,3.64,-0.7,-0.73,27.48
6.75,3.75,-0.64,-0.61,27.47
6.8,3.64,-0.6,-0.67,27.48
6.85,3.64,-0.75,-0.71,27.49
6.9,3.69,-0.67,-0.72,27.5
6.95,3.85,-0.66,-0.77,27.49
7,3.8,-0.57,-0.74,27.49
7.05,3.76,-0.63,-0.76,27.48
7.1,3.75,-0.6,-0.79,27.48
7.15,3.66,-0.59,-0.82,27.49
7.2,3.61,-0.63,-0.83,27.49
7.25,3.53,-0.73,-0.89,27.48
7.3,3.46,-0.7,-0.94,27.47
7.35,3.44,-0.73,-0.94,27.45
7.4,3.46,-0.8,-0.92,27.46
7.45,3.45,-0.79,-0.86,27.48
7.5,3.44,-0.75,-0.82,27.48
7.55,3.46,-0.64,-0.77,27.49
7.6,3.47,-0.56,-0.73,27.49
7.65,3.47,-0.58,-0.67,27.47
7.7,3.45,-0.57,-0.63,27.49
7.75,3.43,-0.58,-0.62,27.5
7.8,3.46,-0.64,-0.62,27.49
7.85,3.41,-0.66,-0.67,27.5
7.9,3.33,-0.64,-0.72,27.5
7.95,3.33,-0.58,-0.75,27.49
8,3.24,-0.61,-0.72,27.49
8.05,3.22,-0.77,-0.69,27.5
8.1,3.31,-0.81,-0.63,27.5
8.15,3.26,-0.79,-0.71,27.49
8.2,3.33,-0.77,-0.65,27.48
8.25,3.32,-0.72,-0.6,27.48
8.3,3.28,-0.83,-0.53,27.48
8.35,3.29,-0.79,-0.46,27.49
8.4,3.27,-0.72,-0.56,27.48
8.45,3.35,-0.72,-0.52,27.49
8.5,3.52,-0.64,-0.56,27.48
8.55,3.58,-0.39,-0.57,27.47
8.6,3.63,-0.38,-0.82,27.46
8.65,3.58,-0.41,-1.19,27.47
8.7,3.59,-0.49,-1.18,27.46
8.75,3.52,-0.45,-1.21,27.46
8.8,3.61,-0.42,-1.28,27.46
8.85,3.49,-0.54,-1.25,27.46
8.9,3.5,-0.61,-1,27.46
8.95,3.45,-0.61,-0.98,27.47
9,3.48,-0.63,-1.03,27.45
9.05,3.62,-0.48,-1.09,27.46
9.1,3.66,-0.49,-1.14,27.47
9.15,3.75,-0.41,-1.13,27.47
9.2,3.67,-0.49,-0.97,27.45
9.25,3.62,-0.44,-0.84,27.44
9.3,3.61,-0.47,-0.87,27.45
9.35,3.6,-0.43,-0.85,27.45
9.4,3.46,-0.37,-0.81,27.46
9.45,3.51,-0.48,-0.82,27.46
9.5,3.67,-0.46,-0.95,27.46
9.55,3.76,-0.63,-0.97,27.46
9.6,3.61,-0.63,-0.9,27.46
9.65,3.77,-0.5,-0.94,27.46
9.7,3.85,-0.57,-0.93,27.47
9.75,3.88,-0.55,-0.98,27.47
9.8,3.84,-0.61,-0.91,27.47
9.85,3.87,-0.67,-0.83,27.46
9.9,3.91,-0.88,-0.86,27.48
9.95,4.03,-1.02,-0.98,27.46
10,3.98,-1.14,-1.01,27.47
10.05,3.96,-1.24,-1.01,27.46
10.1,3.87,-1.14,-0.97,27.48
10.15,3.75,-1.11,-0.97,27.49
10.2,3.68,-1.13,-1.04,27.48
10.25,3.61,-1.07,-0.84,27.51
10.3,3.66,-0.87,-0.8,27.51
10.35,3.74,-0.75,-1.11,27.5
10.4,3.83,-0.58,-1.2,27.47
10.45,3.87,-0.46,-1.17,27.47
10.5,4.06,-0.51,-1.03,27.55
10.55,4.02,-0.57,-0.62,27.68
10.6,4.28,-0.5,-0.68,27.86
10.65,4.28,-0.32,-0.72,27.83
10.7,4.3,-0.05,-0.63,27.71
10.75,4.5,-0.09,-0.57,27.86
10.8,4.38,-0.12,-0.7,27.85
10.85,4.36,-0.04,-0.77,27.94
10.9,4.36,-0.25,-0.67,27.95
10.95,4.37,-0.28,-0.81,27.92
11,4.51,-0.07,-0.64,27.76
11.05,4.88,0.07,-0.34,27.62
11.1,4.7,-0.01,-0.17,27.6
11.15,4.83,-0.23,-0.43,27.86
11.2,4.72,-0.25,-0.43,27.94
11.25,4.64,-0.29,-0.41,27.96
11.3,4.56,-0.63,-0.4,27.97
11.35,4.7,-0.56,-0.49,27.92
11.4,4.79,-0.48,-0.55,27.92
11.45,4.69,-0.43,-0.47,27.92
11.5,4.51,-0.45,-0.26,27.92
11.55,4.35,-0.54,-0.12,27.91
11.6,4.43,-0.14,-0.09,27.93
11.65,4.53,-0.12,-0.12,27.89
11.7,4.48,-0.27,-0.14,27.89
11.75,4.37,-0.42,0.08,27.88
11.8,4.4,-0.26,-0.01,27.87
11.85,4.5,-0.24,-0.01,27.87
11.9,4.4,-0.02,0.01,27.86
11.95,4.36,-0.04,0.14,27.86
12,4.36,-0.03,0.16,27.9
12.05,4.33,0.02,0.15,27.88
12.1,4.35,-0.01,0.06,27.84
12.15,4.36,-0.02,0.11,27.82
12.2,4.5,-0.03,0.04,27.74
12.25,4.65,-0.03,-0.1,27.67
12.3,4.94,-0.03,0.04,27.88
12.35,4.84,-0.01,0.2,27.82
12.4,4.85,-0.01,0.08,27.63
12.45,4.91,0.05,-0.02,27.68
12.5,5.14,-0.08,-0.24,27.88
12.55,5.15,0.04,-0.18,27.9
12.6,5.29,0.11,-0.12,27.93
12.65,5.45,0,-0.19,27.87
12.7,5.56,-0.15,-0.4,27.85
12.75,5.27,-0.16,-0.37,27.82
12.8,5.05,-0.61,-0.19,27.83
12.85,4.94,-0.67,-0.27,27.82
12.9,4.89,-0.7,-0.35,27.82
12.95,5.29,-0.56,-0.43,27.81
13,5.32,-0.33,-0.4,27.87
13.05,5.61,-0.17,-0.4,27.86
13.1,5.76,0.01,-0.32,27.9
13.15,5.83,-0.07,-0.63,27.77
13.2,5.56,0.24,-0.12,27.95
13.25,5.59,0.31,0.01,28.07
13.3,5.72,0.41,-0.03,28.07
13.35,5.55,0.14,-0.12,27.97
13.4,5.59,0.12,-0.23,27.74
13.45,5.5,0.06,-0.27,27.57
13.5,5.4,0.13,-0.26,27.57
13.55,5.41,0.07,-0.31,27.55
13.6,5.37,-0.11,-0.37,27.56
13.65,5.36,-0.13,-0.39,27.54
13.7,5.32,-0.15,-0.35,27.54
13.75,5.34,-0.21,-0.42,27.54
13.8,5.47,-0.3,-0.42,27.55
13.85,5.59,-0.26,-0.41,27.53
13.9,5.39,-0.33,-0.5,27.55
13.95,5.38,-0.35,-0.4,27.54
14,5.42,-0.35,-0.48,27.54
14.05,5.38,-0.47,-0.55,27.56
14.1,5.34,-0.45,-0.57,27.56
14.15,5.24,-0.44,-0.45,27.55
14.2,5.3,-0.5,-0.47,27.54
14.25,5.27,-0.55,-0.38,27.56
14.3,5.32,-0.58,-0.37,27.55
14.35,5.35,-0.53,-0.38,27.56
14.4,5.32,-0.48,-0.42,27.55
14.45,5.25,-0.46,-0.45,27.55
14.5,5.18,-0.54,-0.44,27.56
14.55,5.12,-0.69,-0.5,27.56
14.6,5.17,-0.66,-0.54,27.55
14.65,5.26,-0.35,-0.47,27.55
14.7,5.25,-0.3,-0.3,27.55
14.75,5.23,-0.31,-0.49,27.55
14.8,5.21,-0.26,-0.37,27.55
14.85,5.16,-0.21,-0.35,27.54
14.9,5.09,-0.21,-0.23,27.57
14.95,4.97,-0.31,-0.34,27.59
15,5.03,-0.32,-0.35,27.59
15.05,5.03,-0.27,-0.37,27.57
15.1,5.16,-0.38,-0.34,27.55
15.15,5.11,-0.42,-0.42,27.56
15.2,5.19,-0.48,-0.51,27.55
15.25,5.28,-0.41,-0.41,27.56
15.3,5.23,-0.32,-0.39,27.55
15.35,5.25,-0.33,-0.44,27.55
15.4,5.35,-0.48,-0.44,27.67
15.45,5.33,-0.47,-0.43,27.66
15.5,5.36,-0.44,-0.58,27.63
15.55,5.24,-0.55,-0.47,27.75
15.6,5.13,-0.57,-0.57,27.75
15.65,5.03,-0.55,-0.52,27.77
15.7,5.3,-0.59,-0.39,27.76
15.75,5.18,-0.58,-0.2,27.74
15.8,5.28,-0.45,-0.33,27.78
15.85,5.65,-0.61,-0.4,27.87
15.9,5.85,-0.69,-0.3,27.77
15.95,5.64,-0.77,-0.51,27.64
16,5.54,-0.8,-0.34,27.56
16.05,5.46,-0.71,-0.31,27.57
16.1,5.47,-0.74,-0.31,27.57
16.15,5.53,-0.73,-0.39,27.54
16.2,5.47,-0.69,-0.42,27.57
16.25,5.41,-0.66,-0.53,27.58
16.3,5.41,-0.62,-0.44,27.57
16.35,5.49,-0.56,-0.4,27.59
16.4,5.51,-0.56,-0.48,27.57
16.45,5.49,-0.44,-0.51,27.6
16.5,5.39,-0.26,-0.41,27.63
16.55,5.37,-0.24,-0.3,27.65
16.6,5.38,-0.33,-0.31,27.6
16.65,5.39,-0.27,-0.16,27.66
16.7,5.49,-0.23,-0.09,27.65
16.75,5.36,-0.4,-0.15,27.6
16.8,5.41,-0.48,-0.28,27.56
16.85,5.44,-0.47,-0.32,27.54
16.9,5.36,-0.44,-0.31,27.54
16.95,5.47,-0.52,-0.35,27.56
17,5.49,-0.45,-0.34,27.55
17.05,5.42,-0.46,-0.35,27.56
17.1,5.41,-0.52,-0.34,27.56
17.15,5.39,-0.54,-0.33,27.56
17.2,5.39,-0.53,-0.29,27.56
17.25,5.46,-0.57,-0.35,27.55
17.3,5.38,-0.61,-0.31,27.54
17.35,5.36,-0.87,-0.27,27.49
17.4,5.28,-0.94,-0.19,27.5
17.45,5.28,-0.75,-0.21,27.51
17.5,5.3,-0.65,-0.37,27.55
17.55,5.34,-0.69,-0.5,27.54
17.6,5.32,-0.75,-0.55,27.55
17.65,5.28,-0.74,-0.43,27.56
17.7,5.2,-0.74,-0.39,27.57
17.75,5.23,-0.81,-0.43,27.55
17.8,5.25,-0.75,-0.47,27.56
17.85,5.4,-0.91,-0.51,27.55
17.9,5.27,-0.93,-0.38,27.54
17.95,5.18,-0.88,-0.39,27.53
18,5.18,-0.86,-0.45,27.51
18.05,5.26,-0.81,-0.54,27.57
18.1,5.39,-1.04,-0.36,27.61
18.15,5.45,-0.64,-0.46,27.72
18.2,5.52,-0.61,-0.48,27.71
18.25,5.44,-0.82,-0.65,27.7
18.3,5.3,-0.98,-0.56,27.55
18.35,5.36,-1.1,-0.33,27.64
18.4,5.11,-1.14,-0.31,27.61
18.45,5.18,-1.04,-0.25,27.57
18.5,5.32,-0.8,-0.23,27.58
18.55,5.51,-0.47,-0.48,27.75
18.6,5.5,-0.63,-0.39,27.71
18.65,5.38,-0.73,-0.28,27.68
18.7,5.59,-0.3,-0.41,27.76
18.75,5.5,-0.33,-0.35,27.75
18.8,5.54,-0.47,-0.33,27.67
18.85,5.35,-0.81,-0.6,27.65
18.9,5.19,-0.94,-0.65,27.58
18.95,5.32,-0.92,-0.47,27.6
19,5.24,-0.99,-0.58,27.6
19.05,5.25,-0.78,-0.61,27.6
19.1,5.33,-0.75,-0.61,27.61
19.15,5.4,-0.66,-0.56,27.65
19.2,4.97,-0.8,-0.59,27.56
19.25,4.92,-0.77,-0.59,27.61
19.3,5.34,-0.79,-0.36,27.65
19.35,5.05,-0.59,-0.11,27.73
19.4,4.66,-0.17,0.02,27.68
19.45,4.89,-0.55,-0.15,27.72
19.5,4.78,-0.28,-0.14,27.68
19.55,4.66,0,0.05,27.63
19.6,4.82,0,0.04,27.72
19.65,4.67,-0.28,0.04,27.71
19.7,4.81,0.14,0.12,27.74
19.75,4.54,-0.02,-0.49,27.66
19.8,5.01,-0.08,-0.34,27.54
19.85,4.91,-0.21,0.1,27.71
19.9,4.81,-0.13,0.25,27.77
19.95,4.77,-0.01,0.51,27.84
20,4.86,0.01,0.77,27.83
20.05,4.77,0.27,0.44,27.78
20.1,4.79,0.74,0.55,27.78
20.15,4.67,0.38,0.31,27.56
20.2,4.4,0.18,0.35,27.58
20.25,4.24,0.05,0.32,27.65
20.3,4.06,-0.11,0.41,27.69
20.35,3.93,-0.53,0.29,27.7
20.4,3.94,-0.77,0.04,27.75
20.45,3.87,-0.82,-0.13,27.77
20.5,4.01,-0.87,-0.21,27.8
20.55,4.34,-1.02,-0.13,27.76
20.6,4.24,-1.24,-0.25,27.73
20.65,4.32,-1.01,-0.03,27.69
20.7,4.32,-1.04,0.26,27.69
20.75,4.07,-1.3,0.43,27.67
20.8,4.03,-1.29,0.48,27.65
20.85,4.14,-1.28,0.39,27.72
20.9,4.29,-1.2,0.42,27.86
20.95,4.67,-1.08,0.43,28.04
21,4.79,-1.08,0.36,28.19
21.05,4.73,-1.02,0.22,28.17
21.1,4.77,-0.9,0.1,28.09
21.15,4.87,-0.87,-0.05,28.03
21.2,4.84,-0.68,-0.35,27.84
21.25,4.68,-0.79,-0.31,27.87
21.3,4.41,-1.16,-0.86,27.9
21.35,5.02,-1.37,-0.89,27.56
21.4,5.29,-1.21,-1.1,27.51
21.45,5.66,-1.37,-0.97,27.53
21.5,5.46,-1.25,-0.99,27.41
21.55,5.35,-1.03,-0.96,27.39
21.6,5.32,-0.87,-0.96,27.39
21.65,5.19,-0.94,-0.97,27.39
21.7,5.06,-0.86,-0.93,27.4
21.75,5.01,-0.8,-0.91,27.4
21.8,5.05,-0.75,-0.95,27.4
21.85,5.12,-0.82,-1.01,27.41
21.9,5,-0.67,-1.01,27.41
21.95,4.93,-0.52,-0.95,27.42
22,4.9,-0.42,-1,27.45
22.05,4.94,-0.36,-0.91,27.45
22.1,4.83,-0.35,-0.93,27.45
22.15,4.75,-0.47,-0.82,27.44
22.2,4.78,-0.73,-0.88,27.45
22.25,4.76,-0.9,-1,27.42
22.3,4.95,-0.74,-0.93,27.43
22.35,5.11,-0.62,-0.97,27.43
22.4,5.19,-0.55,-0.82,27.42
22.45,5.04,-0.49,-0.85,27.44
22.5,5.03,-0.59,-0.92,27.43
22.55,5.43,-0.44,-1.02,27.41
22.6,5.54,-0.24,-0.9,27.4
22.65,5.46,-0.34,-1.12,27.41
22.7,5.55,-0.42,-1,27.48
22.75,5.71,-0.37,-0.97,27.52
22.8,5.66,-0.42,-0.93,27.47
22.85,5.7,-0.48,-0.95,27.46
22.9,5.9,-0.75,-0.94,27.47
22.95,5.8,-0.64,-0.93,27.47
23,5.67,-0.59,-0.93,27.47
23.05,5.51,-0.66,-0.93,27.48
23.1,5.37,-0.99,-1.1,27.47
23.15,5.51,-0.8,-1.06,27.45
23.2,5.44,-0.79,-1.14,27.47
23.25,5.31,-0.62,-1.26,27.46
23.3,5.19,-0.9,-1.18,27.48
23.35,5.32,-0.96,-1.27,27.48
23.4,5.26,-0.71,-1.25,27.48
23.45,5.16,-0.8,-1.22,27.48
23.5,5.09,-0.65,-1.12,27.48
23.55,4.96,-0.76,-1.22,27.49
23.6,4.89,-0.7,-1.14,27.49
23.65,4.77,-0.79,-1.12,27.48
23.7,4.71,-0.65,-1.07,27.47
23.75,4.69,-0.65,-0.97,27.47
23.8,4.76,-0.57,-0.94,27.46
23.85,4.93,-0.61,-0.75,27.47
23.9,5.08,-0.6,-0.69,27.47
23.95,5.2,-0.62,-0.79,27.46
24,5.04,-0.48,-0.72,27.47
24.05,5.05,-0.45,-0.82,27.48
24.1,5.02,-0.35,-0.75,27.47
24.15,4.97,-0.26,-0.88,27.47
24.2,4.97,-0.26,-0.98,27.45
24.25,5.07,-0.22,-0.86,27.46
24.3,4.99,-0.17,-0.75,27.47
24.35,5.08,-0.22,-0.82,27.48
24.4,5.22,-0.3,-1.05,27.47
24.45,5.09,-0.27,-1.07,27.48
24.5,4.96,-0.35,-0.92,27.48
24.55,5,-0.39,-0.88,27.48
24.6,4.93,-0.3,-0.99,27.49
24.65,4.8,-0.35,-0.91,27.47
24.7,4.66,-0.33,-0.78,27.47
24.75,4.65,-0.29,-0.74,27.48
24.8,4.56,-0.2,-0.74,27.47
24.85,4.55,-0.34,-0.79,27.48
24.9,4.55,-0.35,-0.69,27.48
24.95,4.56,-0.26,-0.77,27.47
25,4.5,-0.1,-0.75,27.47
25.05,4.32,-0.22,-0.85,27.46
25.1,4.33,-0.11,-0.78,27.46
25.15,4.23,-0.18,-0.78,27.47
25.2,4.28,-0.32,-0.78,27.48
25.25,4.4,-0.26,-0.72,27.48
25.3,4.45,-0.23,-0.53,27.48
25.35,4.54,-0.35,-0.54,27.47
25.4,4.64,-0.29,-0.47,27.46
25.45,4.76,-0.43,-0.5,27.47
25.5,4.6,-0.4,-0.56,27.48
25.55,4.43,-0.32,-0.52,27.47
25.6,4.38,-0.23,-0.52,27.47
25.65,4.3,-0.32,-0.67,27.47
25.7,4.37,-0.3,-0.82,27.49
25.75,4.41,-0.27,-0.79,27.48
25.8,4.2,-0.2,-0.73,27.49
25.85,4.28,-0.25,-0.85,27.47
25.9,4.24,-0.27,-0.74,27.48
25.95,4.25,-0.27,-0.71,27.49
26,4.29,-0.33,-0.71,27.47
26.05,4.27,-0.35,-0.67,27.47
26.1,4.13,-0.32,-0.6,27.47
26.15,4.12,-0.25,-0.56,27.47
26.2,4.18,-0.31,-0.74,27.49
26.25,4.27,-0.35,-0.71,27.47
26.3,4.39,-0.4,-0.79,27.49
26.35,4.3,-0.37,-0.74,27.51
26.4,4.26,-0.43,-0.79,27.49
26.45,4.34,-0.25,-0.8,27.49
26.5,4.18,-0.16,-0.61,27.48
26.55,4.11,-0.2,-0.64,27.47
26.6,4.15,-0.18,-0.65,27.46
26.65,4.15,-0.08,-0.57,27.46
26.7,4.16,-0.12,-0.58,27.47
26.75,4.17,-0.03,-0.55,27.48
26.8,4.29,0,-0.52,27.47
26.85,4.42,0.04,-0.42,27.47
26.9,4.44,0.43,-0.27,27.52
26.95,4.26,0.78,-0.15,27.69
27,4.33,0.5,-0.26,27.79
27.05,4.4,0.63,-0.32,27.69
27.1,4.45,0.81,0.12,27.73
27.15,4.61,0.78,0.08,27.8
27.2,4.62,0.68,0.25,27.73
27.25,4.51,0.63,0.38,27.73
27.3,4.59,0.83,0.49,27.76
27.35,4.42,1.24,0.86,27.72
27.4,4.18,0.95,0.61,27.8
27.45,4.32,0.99,0.4,27.88
27.5,4.26,0.95,0.7,27.88
27.55,4.08,0.93,0.56,27.97
27.6,4.16,1,0.51,27.94
27.65,3.9,0.99,0.76,27.8
27.7,3.78,0.85,0.89,27.8
27.75,3.91,0.76,1.1,27.81
27.8,4.35,0.58,0.96,28.05
27.85,4.22,0.53,0.73,28.06
27.9,4.59,-0.12,0.45,28.05
27.95,4.36,-0.07,0.22,27.99
28,3.77,-0.29,0.57,28
28.05,4.16,-0.27,0.7,27.92
28.1,4.41,-0.29,0.42,27.9
28.15,4.74,-0.53,0.14,27.95
28.2,4.76,-0.53,0.22,27.92
28.25,4.78,-0.04,-0.14,27.74
28.3,4.83,0.23,-0.33,27.69
28.35,4.78,0.13,-0.31,27.74
28.4,4.72,-0.27,-0.53,27.93
28.45,4.57,-0.38,-0.53,27.96
28.5,4.5,-0.2,-0.52,27.88
28.55,4.7,-0.24,-0.63,27.69
28.6,4.79,-0.28,-0.75,27.74
28.65,4.88,-0.2,-0.7,27.98
28.7,5.26,0.05,-0.71,27.87
28.75,5.31,0.44,-0.36,27.77
28.8,5.4,0.28,-0.35,27.91
28.85,5.29,0.22,-0.69,28.01
28.9,5.34,-0.13,-0.72,28.06
28.95,5.52,-0.21,-0.74,28.18
29,5.5,-0.21,-0.54,28.38
29.05,5.45,-0.55,-0.62,28.2
29.1,5.5,-0.28,-0.8,27.62
29.15,5.32,-0.32,-0.82,27.58
29.2,5.36,-0.33,-0.68,27.61
29.25,5.49,-0.33,-0.6,27.64
29.3,5.57,-0.3,-0.57,27.64
29.35,5.55,-0.25,-0.62,27.6
29.4,5.5,-0.16,-0.62,27.57
29.45,5.53,-0.18,-0.52,27.56
29.5,5.58,-0.21,-0.45,27.56
29.55,5.57,-0.18,-0.49,27.56
29.6,5.5,-0.12,-0.48,27.55
29.65,5.64,-0.15,-0.45,27.54
29.7,5.75,-0.24,-0.63,27.5
29.75,5.7,-0.33,-0.75,27.5
29.8,5.66,-0.29,-0.67,27.5
29.85,5.86,-0.27,-0.76,27.48
29.9,5.9,-0.43,-0.88,27.55
29.95,5.9,-0.44,-0.77,27.51
30,5.81,-0.42,-0.67,27.5
30.05,5.73,-0.5,-0.63,27.5
30.1,5.81,-0.59,-0.72,27.49
30.15,5.84,-0.56,-0.66,27.5
30.2,5.81,-0.7,-0.71,27.51
30.25,5.71,-0.65,-0.74,27.52
30.3,5.68,-0.64,-0.81,27.52
30.35,5.68,-0.64,-0.8,27.51
30.4,5.78,-0.6,-0.86,27.5
30.45,5.7,-0.72,-0.79,27.51
30.5,5.67,-0.71,-0.82,27.5
30.55,5.65,-0.77,-0.78,27.52
30.6,5.63,-0.94,-0.81,27.51
30.65,5.61,-0.96,-0.86,27.5
30.7,5.53,-0.89,-0.86,27.5
30.75,5.47,-0.96,-0.86,27.49
30.8,5.36,-1,-0.71,27.5
30.85,5.27,-0.97,-0.68,27.5
30.9,5.28,-0.99,-0.55,27.51
30.95,5.15,-1.09,-0.68,27.53
31,5.14,-1.09,-0.72,27.49
31.05,5.2,-1.01,-0.63,27.51
31.1,5.15,-1.04,-0.69,27.53
31.15,4.96,-1.27,-0.65,27.56
31.2,5.03,-1.43,-0.59,27.56
31.25,5.05,-1.35,-0.66,27.56
31.3,4.96,-1.2,-0.7,27.55
31.35,4.9,-1.2,-0.65,27.55
31.4,5.01,-1.13,-0.66,27.55
31.45,4.99,-1.16,-0.58,27.55
31.5,5.08,-1.26,-0.47,27.55
31.55,5.11,-1.21,-0.54,27.54
31.6,5.09,-1.13,-0.46,27.55
31.65,5.09,-1.01,-0.37,27.55
31.7,5.23,-0.93,-0.35,27.58
31.75,5.28,-1.08,-0.36,27.63
31.8,5.24,-1.05,-0.35,27.61
31.85,5.39,-1.03,-0.34,27.57
31.9,5.38,-0.92,-0.23,27.57
