,Date,Time,Temp_C,RH,DewPt_C,Pressure_hPa
69,02-06-20,5:30p,3.9,97,3.5,1014.8
70,02-06-20,5:45p,3.8,97,3.3,1014.7
71,02-06-20,6:00p,3.8,97,3.3,1014.8
72,02-06-20,6:15p,3.9,97,3.5,1014.6
73,02-06-20,6:30p,3.9,97,3.5,1014.7
74,02-06-20,6:45p,3.9,97,3.5,1014.7
75,02-06-20,7:00p,3.8,97,3.4,1014.6
76,02-06-20,7:15p,3.8,97,3.3,1014.3
77,02-06-20,7:30p,3.8,97,3.3,1014.3
78,02-06-20,7:45p,3.8,97,3.3,1014.8
79,02-06-20,8:00p,3.8,97,3.3,1014.8
80,02-06-20,8:15p,3.7,97,3.2,1015.1
81,02-06-20,8:30p,3.7,97,3.2,1014.7
82,02-06-20,8:45p,3.7,97,3.2,1014.7
83,02-06-20,9:00p,3.6,97,3.2,1014.9
84,02-06-20,9:15p,3.6,97,3.1,1015.3
85,02-06-20,9:30p,3.5,97,3.1,1015.3
86,02-06-20,9:45p,3.4,97,3,1015.5
87,02-06-20,10:00p,3.4,97,3,1015.3
88,02-06-20,10:15p,3.4,97,3,1015.1
89,02-06-20,10:30p,3.4,97,3,1015.1
90,02-06-20,10:45p,3.4,97,3,1015.2
91,02-06-20,11:00p,3.3,97,2.9,1015
92,02-06-20,11:15p,3.3,97,2.8,1015
93,02-06-20,11:30p,3.2,97,2.8,1015.4
94,02-06-20,11:45p,3.3,97,2.8,1015.5
95,02-07-20,12:00a,3.4,97,3,1015.8
96,02-07-20,12:15a,3.4,97,3,1015.9
97,02-07-20,12:30a,3.5,97,3.1,1015.8
98,02-07-20,12:45a,3.5,97,3.1,1016.1
99,02-07-20,1:00a,3.6,97,3.2,1016.1
100,02-07-20,1:15a,3.6,97,3.2,1015.8
101,02-07-20,1:30a,3.7,96,3.1,1016.1
102,02-07-20,1:45a,3.7,96,3.1,1016.2
103,02-07-20,2:00a,3.6,97,3.1,1016.2
104,02-07-20,2:15a,3.5,97,3.1,1016.5
105,02-07-20,2:30a,3.5,97,3.1,1016.6
106,02-07-20,2:45a,3.6,97,3.1,1016.7
107,02-07-20,3:00a,3.6,97,3.1,1016.6
108,02-07-20,3:15a,3.6,97,3.2,1016.7
109,02-07-20,3:30a,3.6,97,3.1,1016.9
110,02-07-20,3:45a,3.6,97,3.1,1016.8
111,02-07-20,4:00a,3.6,97,3.1,1016.9
112,02-07-20,4:15a,3.6,96,3,1016.8
113,02-07-20,4:30a,3.7,96,3.1,1016.9
114,02-07-20,4:45a,3.7,96,3.1,1016.8
115,02-07-20,5:00a,3.7,97,3.3,1016.7
116,02-07-20,5:15a,3.7,96,3.1,1016.7
117,02-07-20,5:30a,3.7,96,3.1,1016.6
118,02-07-20,5:45a,3.7,96,3.1,1016.8
119,02-07-20,6:00a,3.7,96,3.1,1016.6
120,02-07-20,6:15a,3.6,97,3.2,1016.2
121,02-07-20,6:30a,3.6,97,3.2,1016.4
122,02-07-20,6:45a,3.6,97,3.1,1016.3
123,02-07-20,7:00a,3.6,97,3.1,1016.3
124,02-07-20,7:15a,3.5,97,3.1,1016.1
125,02-07-20,7:30a,3.6,97,3.1,1016
126,02-07-20,7:45a,3.6,97,3.2,1015.9
127,02-07-20,8:00a,3.6,97,3.2,1015.7
128,02-07-20,8:15a,3.7,97,3.2,1015.8
129,02-07-20,8:30a,3.7,97,3.3,1015.6
130,02-07-20,8:45a,3.8,97,3.3,1015.8
131,02-07-20,9:00a,3.8,97,3.3,1015.8
132,02-07-20,9:15a,3.9,97,3.5,1015.4
133,02-07-20,9:30a,4,97,3.6,1015.1
134,02-07-20,9:45a,3.9,97,3.5,1015.3
135,02-07-20,10:00a,4.1,97,3.7,1015.2
136,02-07-20,10:15a,4.2,97,3.7,1014.9
137,02-07-20,10:30a,4.1,97,3.7,1014.5
138,02-07-20,10:45a,4.2,97,3.8,1014.4
139,02-07-20,11:00a,4.3,97,3.8,1014.2
140,02-07-20,11:15a,4.3,97,3.8,1013.8
141,02-07-20,11:30a,4.3,98,4,1013.1
142,02-07-20,11:45a,4.5,97,4.1,1013.1
143,02-07-20,12:00p,4.5,97,4.1,1012.9
144,02-07-20,12:15p,4.6,97,4.1,1011.7
145,02-07-20,12:30p,4.7,97,4.2,1011.2
146,02-07-20,12:45p,4.7,97,4.3,1010.8
147,02-07-20,1:00p,4.9,97,4.5,1010.1
148,02-07-20,1:15p,5.1,97,4.6,1009.8
149,02-07-20,1:30p,5.2,97,4.8,1009.5
150,02-07-20,1:45p,5.3,97,4.8,1008.8
151,02-07-20,2:00p,5.4,97,5,1008.2
152,02-07-20,2:15p,5.3,97,4.9,1008.1
153,02-07-20,2:30p,5.4,97,5,1007.8
154,02-07-20,2:45p,5.6,97,5.2,1007.4
155,02-07-20,3:00p,5.8,98,5.5,1007
156,02-07-20,3:15p,6.3,98,6,1006.6
157,02-07-20,3:30p,6.6,98,6.3,1006.4
